date,ALLSKY_SFC_SW_DWN,T2M,WS10M,PRECTOTCORR
20251227,5.8058,25.44,3.41,0.0
20251228,5.6695,25.57,3.64,0.0
20251229,5.837,25.73,3.83,0.0
20251230,5.7593,25.62,3.46,0.0
20251231,5.6885,25.59,4.14,0.0
20260101,5.9143,24.93,4.1,0.0
20260102,5.9743,25.62,3.57,0.0
20260103,5.8418,25.64,3.62,0.0
20260104,5.2896,26.03,3.39,0.0
20260105,5.5421,25.23,3.43,0.0
20260106,5.4677,25.58,3.48,0.0
20260107,5.6465,25.83,3.03,0.0
20260108,4.837,24.02,5.07,0.0
20260109,5.5121,24.8,4.18,0.0
20260110,5.5843,24.0,4.19,0.0
20260111,4.9258,23.2,4.14,0.0
20260112,5.4211,23.43,3.64,0.0
20260113,5.3364,24.1,3.41,0.0
20260114,5.7022,24.86,2.86,0.0
20260115,5.3047,24.64,3.15,0.0
20260116,5.0033,24.61,4.07,0.0
20260117,4.397,24.04,3.3,0.0
20260118,5.2488,24.08,3.14,0.0
20260119,5.9057,24.27,3.42,0.0
20260120,5.8654,23.34,4.4,0.0
20260121,5.4953,21.85,4.46,0.0
20260122,5.6102,21.8,3.93,0.0
20260123,4.7009,21.39,4.0,0.0
20260124,5.5517,23.66,3.68,0.0
20260125,6.0113,23.13,4.68,0.0
20260126,5.1499,23.63,4.95,0.0
20260127,6.2863,23.23,4.52,0.0
20260128,6.257,24.05,4.24,0.0
20260129,6.2974,24.64,4.23,0.0
20260130,6.3677,25.41,3.68,0.0
20260131,6.4356,26.53,3.49,0.0
20260201,6.5321,26.38,3.18,0.0
20260202,6.6216,26.56,2.85,0.0
20260203,3.851,28.02,2.63,0.0
20260204,5.2457,27.72,2.96,0.0
20260205,5.8622,26.43,4.13,0.0
20260206,5.6659,26.72,3.09,0.0
20260207,6.3838,26.49,3.43,0.0
20260208,6.5462,26.79,4.34,0.0
20260209,6.5314,27.22,3.73,0.0
20260210,6.3442,27.72,3.7,0.0
20260211,5.591,26.96,2.87,0.0
20260212,6.7709,27.75,4.11,0.0
20260213,6.6269,28.47,2.52,0.0
20260214,6.6581,28.44,2.44,0.0
20260215,6.2578,28.39,4.33,0.0
20260216,5.959,26.4,5.42,0.0
20260217,5.5186,24.07,4.69,0.0
20260218,6.8686,23.54,3.85,0.0
20260219,6.9607,24.07,4.23,0.0
20260220,7.0222,24.65,4.58,0.0
20260221,6.6252,25.51,4.12,0.0
20260222,7.0147,26.34,3.76,0.0
20260223,7.164,26.65,3.66,0.0
20260224,6.8635,26.57,4.42,0.0
20260225,5.9642,26.41,4.13,0.0
20260226,5.2817,26.78,3.83,0.0
20260227,5.0306,27.67,3.6,0.0
20260228,4.5482,28.01,3.31,0.0
20260301,6.1051,28.17,3.29,0.0
20260302,4.1832,27.7,3.17,0.03
20260303,6.0,27.73,4.68,0.02
20260304,5.9664,28.6,3.73,0.0
20260305,5.1353,30.17,2.25,0.0
20260306,5.2462,30.14,2.74,0.0
20260307,6.1661,30.12,2.98,0.0
