time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
2025-12-27,35.4,22.7,0.0,13.9
2025-12-28,35.8,22.5,0.0,13.9
2025-12-29,36.4,23.4,0.0,12.5
2025-12-30,36.8,22.8,0.0,14.6
2025-12-31,37.2,23.4,0.0,13.6
2026-01-01,36.0,23.5,0.0,15.7
2026-01-02,36.8,23.9,0.0,13.3
2026-01-03,36.9,24.0,0.0,13.5
2026-01-04,36.8,24.5,0.0,14.6
2026-01-05,37.2,24.6,0.0,16.3
2026-01-06,37.3,24.2,0.0,14.7
2026-01-07,36.4,23.9,0.0,19.6
2026-01-08,33.4,22.9,0.0,21.4
2026-01-09,35.5,23.2,0.0,18.3
2026-01-10,35.0,22.4,0.0,15.9
2026-01-11,34.0,22.3,0.0,15.8
2026-01-12,33.8,21.3,0.0,15.6
2026-01-13,34.7,22.0,0.0,13.4
2026-01-14,35.3,21.3,0.0,8.7
2026-01-15,35.2,22.4,0.0,10.3
2026-01-16,34.5,22.9,0.0,13.5
2026-01-17,34.4,21.5,0.0,10.0
2026-01-18,34.4,20.1,0.0,13.8
2026-01-19,33.6,20.9,0.0,12.6
2026-01-20,31.1,19.7,0.0,15.1
2026-01-21,29.8,19.1,0.0,14.8
2026-01-22,30.6,18.3,0.0,13.9
2026-01-23,31.4,19.5,0.0,12.8
2026-01-24,33.4,20.4,0.0,12.5
2026-01-25,32.6,20.0,0.0,17.1
2026-01-26,32.0,20.7,0.0,17.7
2026-01-27,34.0,19.3,0.0,14.7
2026-01-28,34.2,21.1,0.0,13.4
2026-01-29,34.8,20.9,0.0,14.7
2026-01-30,36.0,22.8,0.0,11.2
2026-01-31,37.0,22.1,0.0,11.4
2026-02-01,37.3,22.4,0.0,11.8
2026-02-02,37.7,22.2,0.0,10.1
2026-02-03,36.9,22.3,0.0,9.4
2026-02-04,37.8,25.8,0.0,12.9
2026-02-05,37.2,24.2,0.0,15.4
2026-02-06,38.2,23.5,0.0,14.2
2026-02-07,37.8,23.7,0.0,11.7
2026-02-08,38.2,23.8,0.0,14.2
2026-02-09,37.9,24.2,0.0,15.8
2026-02-10,38.1,24.0,0.0,15.2
2026-02-11,38.0,24.4,0.0,14.3
2026-02-12,38.1,23.5,0.0,14.2
2026-02-13,38.5,24.0,0.0,9.2
2026-02-14,37.5,25.2,0.0,11.9
2026-02-15,38.1,25.7,0.0,19.6
2026-02-16,35.1,24.3,0.0,18.6
2026-02-17,33.0,21.3,0.0,16.4
2026-02-18,34.5,21.1,0.0,14.9
2026-02-19,35.0,21.0,0.0,15.2
2026-02-20,35.5,21.7,0.0,16.3
2026-02-21,36.1,22.3,0.0,15.5
2026-02-22,36.6,22.4,0.0,15.2
2026-02-23,36.7,23.1,0.0,14.7
2026-02-24,36.4,23.3,0.0,17.0
2026-02-25,36.3,23.4,0.0,15.3
2026-02-26,36.3,23.6,0.0,14.5
2026-02-27,36.9,25.2,0.0,15.8
2026-02-28,36.8,25.5,0.0,18.2
2026-03-01,37.2,26.9,0.0,16.5
2026-03-02,34.1,27.8,0.0,16.0
2026-03-03,36.3,25.9,0.0,16.4
2026-03-04,37.9,25.2,0.0,14.5
2026-03-05,37.5,26.2,0.0,11.6
2026-03-06,38.5,27.4,0.0,14.3
2026-03-07,39.4,27.1,0.0,12.1
